username,email,password_hash,age
bob,bob@example.com,$2b$12$KIXpS8zKzJxTpjWQFl7y1uI0pJHqDvpN6oNxJNp9QHMG5DGnH2kla,
charlie,charlie@test.org,$2b$12$QMz8sXzLQ3pLr8xVnHzJLu5j7v9w0Rq9pTlM8nYyX5vKLpq8kM0d,
valid3,test_123@test-domain.org,hash,
frank,frank@batch.com,hash1,
henry,henry@batch.com,hash3,
ivy,ivy@batch.com,hash4,
jack,jack@batch.com,hash5,
xander2025,xander@a.com,hashed,
xander2024,xander@cba.com,hashed,
api_test_user,apt@test.com,hashed,
david,david@example.com,hash_david,28
eve2025,eve@test.org,hash_eve,35
franklin,frank@punisher.com,hash_frank,42
grace,g@test.com,hash_grace,19
henry_123,henry@example.com,hash_henry,31
